erin@debian:~/Main/Julia$ julia may27-calling.jl 
helo the file opened
After sweep 5 energy=-2.999999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.004
After sweep 6 energy=-3.0000000000000004  maxlinkdim=2 maxerr=6.16E-33 time=0.003
After sweep 7 energy=-2.999999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.003
After sweep 8 energy=-3.0000000000000004  maxlinkdim=2 maxerr=6.16E-33 time=0.004
After sweep 9 energy=-2.999999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.004
After sweep 10 energy=-3.0000000000000004  maxlinkdim=2 maxerr=6.16E-33 time=0.004
After sweep 11 energy=-2.999999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.003
After sweep 12 energy=-3.0000000000000004  maxlinkdim=2 maxerr=6.16E-33 time=0.004
After sweep 13 energy=-2.999999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.015
After sweep 14 energy=-3.0000000000000004  maxlinkdim=2 maxerr=6.16E-33 time=0.005
After sweep 15 energy=-2.999999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.004
After sweep 16 energy=-3.0000000000000004  maxlinkdim=2 maxerr=6.16E-33 time=0.004
After sweep 17 energy=-2.999999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.003
After sweep 18 energy=-3.0000000000000004  maxlinkdim=2 maxerr=6.16E-33 time=0.004
After sweep 19 energy=-2.999999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.003
After sweep 20 energy=-3.0000000000000004  maxlinkdim=2 maxerr=6.16E-33 time=0.003
Energy: -3.000000
Difference: 0.000000
After sweep 1 energy=-3.749999999564515  maxlinkdim=13 maxerr=6.57E-13 time=0.011
After sweep 2 energy=-3.7499999999999996  maxlinkdim=2 maxerr=7.68E-14 time=0.006
After sweep 3 energy=-3.7499999999999987  maxlinkdim=2 maxerr=6.16E-33 time=0.005
After sweep 4 energy=-3.7499999999999987  maxlinkdim=2 maxerr=1.39E-32 time=0.005
After sweep 5 energy=-3.7499999999999987  maxlinkdim=2 maxerr=6.16E-33 time=0.005
After sweep 6 energy=-3.7499999999999996  maxlinkdim=2 maxerr=6.16E-33 time=0.005
After sweep 7 energy=-3.7500000000000036  maxlinkdim=2 maxerr=6.16E-33 time=0.005
After sweep 8 energy=-3.7499999999999996  maxlinkdim=2 maxerr=2.47E-32 time=0.015
After sweep 9 energy=-3.7499999999999996  maxlinkdim=2 maxerr=1.39E-32 time=0.005
After sweep 10 energy=-3.7499999999999964  maxlinkdim=2 maxerr=6.16E-33 time=0.005
After sweep 11 energy=-3.749999999999996  maxlinkdim=2 maxerr=6.16E-33 time=0.005
After sweep 12 energy=-3.7499999999999987  maxlinkdim=2 maxerr=6.16E-33 time=0.005
After sweep 13 energy=-3.749999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.004
After sweep 14 energy=-3.749999999999999  maxlinkdim=2 maxerr=1.39E-32 time=0.004
After sweep 15 energy=-3.7499999999999996  maxlinkdim=2 maxerr=6.16E-33 time=0.005
After sweep 16 energy=-3.75  maxlinkdim=2 maxerr=6.16E-33 time=0.005
After sweep 17 energy=-3.7499999999999982  maxlinkdim=2 maxerr=1.39E-32 time=0.005
After sweep 18 energy=-3.749999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.005
After sweep 19 energy=-3.75  maxlinkdim=2 maxerr=1.39E-32 time=0.005
After sweep 20 energy=-3.7499999999999982  maxlinkdim=2 maxerr=6.16E-33 time=0.004
Energy: -3.750000
Difference: 0.000000
After sweep 1 energy=-4.499999999428968  maxlinkdim=12 maxerr=8.84E-13 time=0.023
After sweep 2 energy=-4.5  maxlinkdim=2 maxerr=1.17E-15 time=0.007
After sweep 3 energy=-4.499999999999998  maxlinkdim=2 maxerr=6.16E-33 time=0.006
After sweep 4 energy=-4.499999999999997  maxlinkdim=2 maxerr=7.70E-33 time=0.006
After sweep 5 energy=-4.499999999999998  maxlinkdim=2 maxerr=7.70E-33 time=0.005
After sweep 6 energy=-4.499999999999998  maxlinkdim=2 maxerr=2.47E-32 time=0.006
After sweep 7 energy=-4.5  maxlinkdim=2 maxerr=1.23E-32 time=0.006
After sweep 8 energy=-4.499999999999997  maxlinkdim=2 maxerr=1.39E-32 time=0.005
After sweep 9 energy=-4.499999999999998  maxlinkdim=2 maxerr=1.39E-32 time=0.006
